Step 0: {'loss': 129055.1953125, 'mse_loss': 129055.1953125, 'sparsity_loss': 0.0, 'l0': 32760.8359375, 'dead_features': 0}
Step 17600: {'loss': 23212.51953125, 'mse_loss': 1253.686279296875, 'sparsity_loss': 21958.833984375, 'l0': 2983.70263671875, 'dead_features': 13371}
Step 17700: {'loss': 21260.42578125, 'mse_loss': 975.1260986328125, 'sparsity_loss': 20285.298828125, 'l0': 2868.529296875, 'dead_features': 13482}
Step 17800: {'loss': 25551.77734375, 'mse_loss': 947.454345703125, 'sparsity_loss': 24604.322265625, 'l0': 3157.15283203125, 'dead_features': 13484}
Step 17900: {'loss': 21924.3203125, 'mse_loss': 1057.367919921875, 'sparsity_loss': 20866.953125, 'l0': 2909.07958984375, 'dead_features': 13488}
Step 18000: {'loss': 20820.85546875, 'mse_loss': 1128.610595703125, 'sparsity_loss': 19692.244140625, 'l0': 2826.5810546875, 'dead_features': 13587}
Step 18100: {'loss': 22612.275390625, 'mse_loss': 1160.289794921875, 'sparsity_loss': 21451.986328125, 'l0': 2949.29931640625, 'dead_features': 13747}
Step 18200: {'loss': 26859.140625, 'mse_loss': 723.6396484375, 'sparsity_loss': 26135.501953125, 'l0': 3253.29541015625, 'dead_features': 13941}
Step 18300: {'loss': 23026.44140625, 'mse_loss': 1169.907470703125, 'sparsity_loss': 21856.533203125, 'l0': 2976.791015625, 'dead_features': 13978}
Step 18400: {'loss': 23475.890625, 'mse_loss': 1333.03271484375, 'sparsity_loss': 22142.857421875, 'l0': 2996.09521484375, 'dead_features': 13978}
Step 18500: {'loss': 23435.96484375, 'mse_loss': 1287.13525390625, 'sparsity_loss': 22148.830078125, 'l0': 2996.49658203125, 'dead_features': 13968}
Step 18600: {'loss': 26690.240234375, 'mse_loss': 1393.4437255859375, 'sparsity_loss': 25296.796875, 'l0': 3200.9931640625, 'dead_features': 13795}
Step 18700: {'loss': 25391.359375, 'mse_loss': 1052.7061767578125, 'sparsity_loss': 24338.65234375, 'l0': 3140.169921875, 'dead_features': 12988}
Step 18800: {'loss': 24838.701171875, 'mse_loss': 562.345703125, 'sparsity_loss': 24276.35546875, 'l0': 3136.17431640625, 'dead_features': 12891}
Step 18900: {'loss': 20876.015625, 'mse_loss': 1112.5482177734375, 'sparsity_loss': 19763.466796875, 'l0': 2831.65185546875, 'dead_features': 12937}
Step 19000: {'loss': 21143.66796875, 'mse_loss': 835.5963134765625, 'sparsity_loss': 20308.072265625, 'l0': 2870.1279296875, 'dead_features': 13480}
Step 19100: {'loss': 22173.48046875, 'mse_loss': 1206.347900390625, 'sparsity_loss': 20967.1328125, 'l0': 2916.00634765625, 'dead_features': 13959}
Step 19200: {'loss': 26102.771484375, 'mse_loss': 1396.4720458984375, 'sparsity_loss': 24706.298828125, 'l0': 3163.6474609375, 'dead_features': 14095}
Step 19300: {'loss': 19720.771484375, 'mse_loss': 892.0909423828125, 'sparsity_loss': 18828.6796875, 'l0': 2764.3525390625, 'dead_features': 14173}
Step 19400: {'loss': 20962.369140625, 'mse_loss': 889.4464721679688, 'sparsity_loss': 20072.921875, 'l0': 2853.57861328125, 'dead_features': 14231}
Step 19500: {'loss': 25187.54296875, 'mse_loss': 435.8558654785156, 'sparsity_loss': 24751.6875, 'l0': 3166.53369140625, 'dead_features': 14324}
Step 19600: {'loss': 20627.763671875, 'mse_loss': 922.923828125, 'sparsity_loss': 19704.83984375, 'l0': 2827.478515625, 'dead_features': 14455}
Step 19700: {'loss': 22868.0, 'mse_loss': 1135.65771484375, 'sparsity_loss': 21732.341796875, 'l0': 2968.37841796875, 'dead_features': 14445}
Step 19800: {'loss': 23316.298828125, 'mse_loss': 903.4735107421875, 'sparsity_loss': 22412.826171875, 'l0': 3014.1826171875, 'dead_features': 14412}
Step 19900: {'loss': 21904.25, 'mse_loss': 1303.4554443359375, 'sparsity_loss': 20600.794921875, 'l0': 2890.59521484375, 'dead_features': 14486}
Step 20000: {'loss': 23769.19140625, 'mse_loss': 571.408447265625, 'sparsity_loss': 23197.783203125, 'l0': 3066.16357421875, 'dead_features': 14719}
Step 20100: {'loss': 22335.677734375, 'mse_loss': 1204.613037109375, 'sparsity_loss': 21131.064453125, 'l0': 2927.3056640625, 'dead_features': 14757}
Step 20200: {'loss': 24427.20703125, 'mse_loss': 554.3036499023438, 'sparsity_loss': 23872.904296875, 'l0': 3110.171875, 'dead_features': 14858}
Step 20300: {'loss': 23212.033203125, 'mse_loss': 1288.610595703125, 'sparsity_loss': 21923.421875, 'l0': 2981.31201171875, 'dead_features': 14841}
Step 20400: {'loss': 22230.10546875, 'mse_loss': 1242.1165771484375, 'sparsity_loss': 20987.98828125, 'l0': 2917.4462890625, 'dead_features': 15065}
Step 20500: {'loss': 22124.421875, 'mse_loss': 1181.881591796875, 'sparsity_loss': 20942.541015625, 'l0': 2914.3076171875, 'dead_features': 15083}
Step 20600: {'loss': 20656.564453125, 'mse_loss': 1217.6541748046875, 'sparsity_loss': 19438.91015625, 'l0': 2808.4697265625, 'dead_features': 15228}
Step 20700: {'loss': 23378.802734375, 'mse_loss': 695.3753051757812, 'sparsity_loss': 22683.427734375, 'l0': 3032.20361328125, 'dead_features': 15267}
Step 20800: {'loss': 21425.908203125, 'mse_loss': 799.114013671875, 'sparsity_loss': 20626.794921875, 'l0': 2892.40625, 'dead_features': 15408}
Step 20900: {'loss': 23843.982421875, 'mse_loss': 409.2625427246094, 'sparsity_loss': 23434.720703125, 'l0': 3081.6806640625, 'dead_features': 15549}
Step 21000: {'loss': 21502.09765625, 'mse_loss': 1238.2344970703125, 'sparsity_loss': 20263.86328125, 'l0': 2867.02392578125, 'dead_features': 15688}
Step 21100: {'loss': 24256.2109375, 'mse_loss': 1339.692138671875, 'sparsity_loss': 22916.51953125, 'l0': 3047.640625, 'dead_features': 15877}
Step 21200: {'loss': 22864.3828125, 'mse_loss': 1400.34375, 'sparsity_loss': 21464.0390625, 'l0': 2950.1220703125, 'dead_features': 15843}
Step 21300: {'loss': 22532.79296875, 'mse_loss': 1222.3046875, 'sparsity_loss': 21310.48828125, 'l0': 2939.62255859375, 'dead_features': 15819}
Step 21400: {'loss': 19274.68359375, 'mse_loss': 1028.201904296875, 'sparsity_loss': 18246.482421875, 'l0': 2721.5908203125, 'dead_features': 15892}
Step 21500: {'loss': 20139.927734375, 'mse_loss': 835.267578125, 'sparsity_loss': 19304.66015625, 'l0': 2798.82421875, 'dead_features': 15910}
Step 21600: {'loss': 19309.72265625, 'mse_loss': 791.17578125, 'sparsity_loss': 18518.546875, 'l0': 2741.6572265625, 'dead_features': 16006}
Step 21700: {'loss': 24227.482421875, 'mse_loss': 393.9698486328125, 'sparsity_loss': 23833.51171875, 'l0': 3107.62109375, 'dead_features': 16059}
Step 21800: {'loss': 18755.615234375, 'mse_loss': 979.80126953125, 'sparsity_loss': 17775.814453125, 'l0': 2686.51953125, 'dead_features': 16095}
Step 21900: {'loss': 19918.43359375, 'mse_loss': 724.845458984375, 'sparsity_loss': 19193.587890625, 'l0': 2790.818359375, 'dead_features': 16274}
Step 22000: {'loss': 21543.892578125, 'mse_loss': 1238.759521484375, 'sparsity_loss': 20305.1328125, 'l0': 2869.92138671875, 'dead_features': 16273}
Step 22100: {'loss': 19033.587890625, 'mse_loss': 796.594482421875, 'sparsity_loss': 18236.994140625, 'l0': 2720.88818359375, 'dead_features': 16278}
Step 22200: {'loss': 22890.7890625, 'mse_loss': 760.6948852539062, 'sparsity_loss': 22130.09375, 'l0': 2995.2373046875, 'dead_features': 16325}
Step 22300: {'loss': 19483.978515625, 'mse_loss': 1010.1427001953125, 'sparsity_loss': 18473.8359375, 'l0': 2738.36962890625, 'dead_features': 16421}
Step 22400: {'loss': 19786.310546875, 'mse_loss': 1110.770751953125, 'sparsity_loss': 18675.5390625, 'l0': 2753.16943359375, 'dead_features': 16437}
Step 22500: {'loss': 18860.87890625, 'mse_loss': 854.5635986328125, 'sparsity_loss': 18006.314453125, 'l0': 2703.751953125, 'dead_features': 16524}
Step 22600: {'loss': 19584.40625, 'mse_loss': 593.0086059570312, 'sparsity_loss': 18991.3984375, 'l0': 2776.185546875, 'dead_features': 16568}
Step 22700: {'loss': 20844.70703125, 'mse_loss': 1175.4781494140625, 'sparsity_loss': 19669.228515625, 'l0': 2824.9404296875, 'dead_features': 16637}
Step 22800: {'loss': 21147.564453125, 'mse_loss': 1290.521240234375, 'sparsity_loss': 19857.04296875, 'l0': 2838.30029296875, 'dead_features': 16784}
Step 22900: {'loss': 21878.435546875, 'mse_loss': 918.4780883789062, 'sparsity_loss': 20959.95703125, 'l0': 2915.5107421875, 'dead_features': 16842}
Step 23000: {'loss': 19427.330078125, 'mse_loss': 1005.9007568359375, 'sparsity_loss': 18421.4296875, 'l0': 2734.51123046875, 'dead_features': 16938}
Step 23100: {'loss': 20114.10546875, 'mse_loss': 1044.361328125, 'sparsity_loss': 19069.744140625, 'l0': 2781.86474609375, 'dead_features': 16956}
Step 23200: {'loss': 21581.69921875, 'mse_loss': 1386.685546875, 'sparsity_loss': 20195.013671875, 'l0': 2862.18310546875, 'dead_features': 17038}
Step 23300: {'loss': 20198.07421875, 'mse_loss': 1222.999267578125, 'sparsity_loss': 18975.07421875, 'l0': 2775.0009765625, 'dead_features': 17129}
Step 23400: {'loss': 20731.185546875, 'mse_loss': 811.6328125, 'sparsity_loss': 19919.552734375, 'l0': 2842.73291015625, 'dead_features': 17138}
Step 23500: {'loss': 20863.76171875, 'mse_loss': 952.3198852539062, 'sparsity_loss': 19911.44140625, 'l0': 2842.158203125, 'dead_features': 17209}
Step 23600: {'loss': 18881.25390625, 'mse_loss': 670.1053466796875, 'sparsity_loss': 18211.1484375, 'l0': 2718.9736328125, 'dead_features': 17262}
Step 23700: {'loss': 18489.408203125, 'mse_loss': 742.7786865234375, 'sparsity_loss': 17746.62890625, 'l0': 2684.32958984375, 'dead_features': 17311}
Step 23800: {'loss': 18861.201171875, 'mse_loss': 969.954345703125, 'sparsity_loss': 17891.24609375, 'l0': 2695.1630859375, 'dead_features': 17387}
Step 23900: {'loss': 17849.908203125, 'mse_loss': 788.751708984375, 'sparsity_loss': 17061.15625, 'l0': 2632.3671875, 'dead_features': 17630}
Step 24000: {'loss': 18327.03515625, 'mse_loss': 1039.139404296875, 'sparsity_loss': 17287.896484375, 'l0': 2649.6689453125, 'dead_features': 17700}
Step 24100: {'loss': 20883.85546875, 'mse_loss': 1202.51416015625, 'sparsity_loss': 19681.341796875, 'l0': 2825.80419921875, 'dead_features': 17756}
Step 24200: {'loss': 18104.203125, 'mse_loss': 991.0189208984375, 'sparsity_loss': 17113.18359375, 'l0': 2636.34716796875, 'dead_features': 17885}
Step 24300: {'loss': 17388.94140625, 'mse_loss': 931.8509521484375, 'sparsity_loss': 16457.08984375, 'l0': 2585.70361328125, 'dead_features': 17954}
Step 24400: {'loss': 17920.23046875, 'mse_loss': 647.1218872070312, 'sparsity_loss': 17273.109375, 'l0': 2648.5439453125, 'dead_features': 18044}
Step 24500: {'loss': 18792.029296875, 'mse_loss': 664.8638916015625, 'sparsity_loss': 18127.166015625, 'l0': 2712.7431640625, 'dead_features': 18240}
Step 24600: {'loss': 18133.49609375, 'mse_loss': 749.2095947265625, 'sparsity_loss': 17384.287109375, 'l0': 2656.98974609375, 'dead_features': 18247}
Step 24700: {'loss': 18530.515625, 'mse_loss': 1096.9677734375, 'sparsity_loss': 17433.548828125, 'l0': 2660.72314453125, 'dead_features': 18329}
Step 24800: {'loss': 17215.509765625, 'mse_loss': 784.44970703125, 'sparsity_loss': 16431.060546875, 'l0': 2583.673828125, 'dead_features': 18375}
Step 24900: {'loss': 19010.1875, 'mse_loss': 1169.876953125, 'sparsity_loss': 17840.310546875, 'l0': 2691.3525390625, 'dead_features': 18245}
Step 25000: {'loss': 18865.703125, 'mse_loss': 1050.830810546875, 'sparsity_loss': 17814.873046875, 'l0': 2689.447265625, 'dead_features': 18298}
Step 25100: {'loss': 18591.443359375, 'mse_loss': 914.9952392578125, 'sparsity_loss': 17676.447265625, 'l0': 2679.05615234375, 'dead_features': 18394}
Step 25200: {'loss': 17448.212890625, 'mse_loss': 1009.984130859375, 'sparsity_loss': 16438.228515625, 'l0': 2584.23291015625, 'dead_features': 18725}
Step 25300: {'loss': 17269.37890625, 'mse_loss': 794.0452270507812, 'sparsity_loss': 16475.333984375, 'l0': 2587.12548828125, 'dead_features': 18835}
Step 25400: {'loss': 17220.314453125, 'mse_loss': 924.9374389648438, 'sparsity_loss': 16295.3779296875, 'l0': 2573.06689453125, 'dead_features': 18901}
Step 25500: {'loss': 17783.01171875, 'mse_loss': 1094.26416015625, 'sparsity_loss': 16688.748046875, 'l0': 2603.69873046875, 'dead_features': 18941}
Step 25600: {'loss': 16639.63671875, 'mse_loss': 625.2838745117188, 'sparsity_loss': 16014.3525390625, 'l0': 2550.95654296875, 'dead_features': 18978}
Step 25700: {'loss': 17347.939453125, 'mse_loss': 1002.4175415039062, 'sparsity_loss': 16345.5224609375, 'l0': 2576.9921875, 'dead_features': 19057}
Step 25800: {'loss': 16893.38671875, 'mse_loss': 750.9307250976562, 'sparsity_loss': 16142.455078125, 'l0': 2561.05908203125, 'dead_features': 19129}
Step 25900: {'loss': 19506.28515625, 'mse_loss': 453.4617614746094, 'sparsity_loss': 19052.82421875, 'l0': 2780.63916015625, 'dead_features': 19209}
Step 26000: {'loss': 16203.3037109375, 'mse_loss': 716.8916015625, 'sparsity_loss': 15486.412109375, 'l0': 2508.88818359375, 'dead_features': 19359}
Step 26100: {'loss': 18408.720703125, 'mse_loss': 1010.375244140625, 'sparsity_loss': 17398.345703125, 'l0': 2658.0556640625, 'dead_features': 19431}
Step 26200: {'loss': 17112.15234375, 'mse_loss': 1063.693115234375, 'sparsity_loss': 16048.4599609375, 'l0': 2553.650390625, 'dead_features': 19621}
Step 26300: {'loss': 18740.865234375, 'mse_loss': 1138.176513671875, 'sparsity_loss': 17602.689453125, 'l0': 2673.50244140625, 'dead_features': 19799}
Step 26400: {'loss': 16083.033203125, 'mse_loss': 650.56396484375, 'sparsity_loss': 15432.4697265625, 'l0': 2504.5498046875, 'dead_features': 19883}
Step 26500: {'loss': 16083.7265625, 'mse_loss': 765.7777099609375, 'sparsity_loss': 15317.94921875, 'l0': 2495.31396484375, 'dead_features': 19850}
Step 26600: {'loss': 15893.9169921875, 'mse_loss': 742.4819946289062, 'sparsity_loss': 15151.4345703125, 'l0': 2481.8232421875, 'dead_features': 19950}
Step 26700: {'loss': 17587.107421875, 'mse_loss': 754.7818603515625, 'sparsity_loss': 16832.326171875, 'l0': 2614.7890625, 'dead_features': 20139}
Step 26800: {'loss': 16830.7578125, 'mse_loss': 901.2237548828125, 'sparsity_loss': 15929.5341796875, 'l0': 2544.2451171875, 'dead_features': 20383}
Step 26900: {'loss': 15925.88671875, 'mse_loss': 759.0321655273438, 'sparsity_loss': 15166.8544921875, 'l0': 2483.07568359375, 'dead_features': 20478}
Step 27000: {'loss': 15972.2109375, 'mse_loss': 941.68994140625, 'sparsity_loss': 15030.5205078125, 'l0': 2471.98046875, 'dead_features': 20550}
Step 27100: {'loss': 16247.755859375, 'mse_loss': 1004.2483520507812, 'sparsity_loss': 15243.5078125, 'l0': 2489.2919921875, 'dead_features': 20645}
Step 27200: {'loss': 16850.0625, 'mse_loss': 992.8018798828125, 'sparsity_loss': 15857.259765625, 'l0': 2538.51220703125, 'dead_features': 20656}
Step 27300: {'loss': 17060.349609375, 'mse_loss': 495.1214599609375, 'sparsity_loss': 16565.228515625, 'l0': 2594.11962890625, 'dead_features': 20619}
Step 27400: {'loss': 15107.4541015625, 'mse_loss': 708.5440673828125, 'sparsity_loss': 14398.91015625, 'l0': 2419.9091796875, 'dead_features': 20310}
Step 27500: {'loss': 15653.4345703125, 'mse_loss': 881.499755859375, 'sparsity_loss': 14771.9345703125, 'l0': 2450.796875, 'dead_features': 20492}
Step 27600: {'loss': 15979.5771484375, 'mse_loss': 1060.8271484375, 'sparsity_loss': 14918.75, 'l0': 2462.8466796875, 'dead_features': 20914}
Step 27700: {'loss': 16448.81640625, 'mse_loss': 1097.787109375, 'sparsity_loss': 15351.029296875, 'l0': 2497.9853515625, 'dead_features': 21131}
Step 27800: {'loss': 15555.244140625, 'mse_loss': 568.9111328125, 'sparsity_loss': 14986.3330078125, 'l0': 2468.37353515625, 'dead_features': 21309}
Step 27900: {'loss': 15384.77734375, 'mse_loss': 561.916748046875, 'sparsity_loss': 14822.8603515625, 'l0': 2454.9833984375, 'dead_features': 20677}
Step 28000: {'loss': 14874.6201171875, 'mse_loss': 644.3610229492188, 'sparsity_loss': 14230.2587890625, 'l0': 2405.81298828125, 'dead_features': 20767}
Step 28100: {'loss': 15805.451171875, 'mse_loss': 1067.78173828125, 'sparsity_loss': 14737.669921875, 'l0': 2447.97607421875, 'dead_features': 20881}
Step 28200: {'loss': 16630.66015625, 'mse_loss': 1131.4306640625, 'sparsity_loss': 15499.2294921875, 'l0': 2509.91796875, 'dead_features': 21310}
Step 28300: {'loss': 15769.0888671875, 'mse_loss': 802.4451293945312, 'sparsity_loss': 14966.6435546875, 'l0': 2466.7646484375, 'dead_features': 21272}
Step 28400: {'loss': 15139.896484375, 'mse_loss': 840.23291015625, 'sparsity_loss': 14299.6630859375, 'l0': 2411.6240234375, 'dead_features': 21333}
Step 28500: {'loss': 15145.8466796875, 'mse_loss': 990.3477783203125, 'sparsity_loss': 14155.4990234375, 'l0': 2399.53759765625, 'dead_features': 21816}
Step 28600: {'loss': 14988.4716796875, 'mse_loss': 982.2906494140625, 'sparsity_loss': 14006.1806640625, 'l0': 2386.9541015625, 'dead_features': 22219}
Step 28700: {'loss': 15516.6484375, 'mse_loss': 1006.1583862304688, 'sparsity_loss': 14510.490234375, 'l0': 2429.18994140625, 'dead_features': 22131}
Step 28800: {'loss': 15811.6708984375, 'mse_loss': 1010.8037719726562, 'sparsity_loss': 14800.8671875, 'l0': 2453.17626953125, 'dead_features': 22095}
Step 28900: {'loss': 14614.3583984375, 'mse_loss': 883.4097900390625, 'sparsity_loss': 13730.9482421875, 'l0': 2363.58251953125, 'dead_features': 22009}
Step 29000: {'loss': 15886.251953125, 'mse_loss': 1123.33544921875, 'sparsity_loss': 14762.916015625, 'l0': 2450.0546875, 'dead_features': 22197}
Step 29100: {'loss': 13870.7890625, 'mse_loss': 667.87646484375, 'sparsity_loss': 13202.9130859375, 'l0': 2318.07861328125, 'dead_features': 22474}
Step 29200: {'loss': 14626.4267578125, 'mse_loss': 624.3564453125, 'sparsity_loss': 14002.0703125, 'l0': 2386.60693359375, 'dead_features': 22679}

 training complete! 

all info: /gpfs/radev/project/lafferty/tl784/AIscientist/free_PhD_labor/templates/sae_variants/run_0/final_info.json

Running absorption evaluation...
Loaded pretrained model google/gemma-2-2b into HookedTransformer
[PosixPath('/gpfs/radev/project/lafferty/tl784/AIscientist/free_PhD_labor/artifacts/absorption/k_sparse_probing/google/gemma-2-2b_layer_12_sae_custom_sae/layer_12_google/gemma-2-2b_layer_12_sae_custom_sae_metrics.parquet')] exist(s), loading from disk
[PosixPath('/gpfs/radev/project/lafferty/tl784/AIscientist/free_PhD_labor/artifacts/absorption/feature_absorption/google/gemma-2-2b_layer_12_sae_custom_sae/layer_12_google/gemma-2-2b_layer_12_sae_custom_sae.parquet')] exist(s), loading from disk

Running core evaluation...
Using device: cuda
Loaded pretrained model google/gemma-2-2b into HookedTransformer
Saved evaluation results to: run_0/google_gemma-2-2b_layer_12_sae_custom_sae_eval_results.json

Running scr_and_tpp evaluation...
Loaded pretrained model google/gemma-2-2b into HookedTransformer
Loading activations from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_professor_nurse_activations.pt
Loading probes from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_professor_nurse_probes.pkl
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9490000605583191, scr_score: 0.5937502619346752
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9510000348091125, scr_score: 0.6249998835845888
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9420000314712524, scr_score: 0.4843747235133985
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9430000185966492, scr_score: 0.4999995343383553
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9460000395774841, scr_score: 0.5468748981365152
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9500000476837158, scr_score: 0.609375072759632
dir: 1, original_acc: 0.9110000729560852, clean_acc: 0.9750000238418579, changed_acc: 0.9460000395774841, scr_score: 0.5468748981365152
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.5870000123977661, scr_score: 0.009828028179079856
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.5980000495910645, scr_score: 0.036855142283733294
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.6010000109672546, scr_score: 0.04422605358149169
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.6050000190734863, scr_score: 0.05405408176057155
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.6170000433921814, scr_score: 0.08353816629781112
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.6310000419616699, scr_score: 0.11793619170022296
dir: 2, original_acc: 0.5830000042915344, clean_acc: 0.9900000691413879, changed_acc: 0.6640000343322754, scr_score: 0.19901724111671262
Loading activations from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_architect_journalist_activations.pt
Loading probes from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_architect_journalist_probes.pkl
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.893000066280365, scr_score: 0.39805839288494044
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.8890000581741333, scr_score: 0.3592233571539762
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.8670000433921814, scr_score: 0.14563094997665002
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.8810000419616699, scr_score: 0.28155328569204763
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.8220000267028809, scr_score: -0.2912624786392547
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.7890000343322754, scr_score: -0.6116508000622666
dir: 1, original_acc: 0.8520000576972961, clean_acc: 0.9550000429153442, changed_acc: 0.7190000414848328, scr_score: -1.2912624786392548
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.6680000424385071, scr_score: 0.08022922342486603
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.6930000185966492, scr_score: 0.1518623976302968
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.690000057220459, scr_score: 0.1432665191978205
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.7090000510215759, scr_score: 0.19770776575133966
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.7430000305175781, scr_score: 0.29512891682811726
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.6480000019073486, scr_score: 0.022922513273562452
dir: 2, original_acc: 0.64000004529953, clean_acc: 0.9890000224113464, changed_acc: 0.5840000510215759, scr_score: -0.16045844684973207
Loading activations from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_surgeon_psychologist_activations.pt
Loading probes from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_surgeon_psychologist_probes.pkl
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9470000267028809, scr_score: 0.5873013770560047
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9500000476837158, scr_score: 0.6349207400434262
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9480000734329224, scr_score: 0.6031751287885597
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9470000267028809, scr_score: 0.5873013770560047
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9480000734329224, scr_score: 0.6031751287885597
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9470000267028809, scr_score: 0.5873013770560047
dir: 1, original_acc: 0.9100000262260437, clean_acc: 0.9730000495910645, changed_acc: 0.9280000329017639, scr_score: 0.2857142857142857
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.5960000157356262, scr_score: 0.02025320352298121
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6010000109672546, scr_score: 0.03291141800038962
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6080000400543213, scr_score: 0.05063300880745302
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6230000257492065, scr_score: 0.08860765223967824
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6310000419616699, scr_score: 0.10886085576265946
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6410000324249268, scr_score: 0.13417728471747628
dir: 2, original_acc: 0.5879999995231628, clean_acc: 0.9830000400543213, changed_acc: 0.6080000400543213, scr_score: 0.05063300880745302
Loading activations from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_attorney_teacher_activations.pt
Loading probes from artifacts/scr/google/gemma-2-2b/blocks.12.hook_resid_post/LabHC_bias_in_bios_class_set1_attorney_teacher_probes.pkl
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.89000004529953, scr_score: 0.3828126309672156
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.8600000143051147, scr_score: 0.1484374272404358
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.8840000629425049, scr_score: 0.33593777648634404
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.9040000438690186, scr_score: 0.4921876018633899
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.8890000581741333, scr_score: 0.3750002328306055
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.8160000443458557, scr_score: -0.19531228172130735
dir: 1, original_acc: 0.8410000205039978, clean_acc: 0.9690000414848328, changed_acc: 0.8860000371932983, scr_score: 0.3515625727595642
dir: 2, original_acc: 0.6570000052452087, clean_acc: 0.9940000176429749, changed_acc: 0.6650000214576721, scr_score: 0.02373891963843859
dir: 2, original_acc: 0.6570000052452087, clean_acc: 0.9940000176429749, changed_acc: 0.6780000329017639, scr_score: 0.0623146198338074
dir: 2, original_acc: 0.6570000052452087, clean_acc: 0.9940000176429749, changed_acc: 0.6970000267028809, scr_score: 0.11869442132381734
